iter	Passed	Remaining
159	13684	71843
160	13764	71727
161	13852	71655
162	13942	71593
163	14027	71504
164	14116	71437
165	14212	71404
166	14299	71325
167	14378	71209
168	14453	71070
169	14539	70987
170	14621	70885
171	14717	70850
172	14797	70736
173	14876	70620
174	14963	70540
175	15052	70474
176	15148	70438
177	15239	70377
178	15327	70298
179	15401	70162
180	15485	70068
181	15569	69977
182	15652	69881
183	15732	69770
184	15809	69648
185	15890	69543
186	15969	69429
187	16047	69311
188	16135	69237
189	16224	69169
190	16310	69086
191	16390	68978
192	16482	68921
193	16576	68868
194	16664	68792
195	16749	68705
196	16834	68618
197	16913	68507
198	17000	68428
199	17087	68349
200	17176	68279
201	17256	68172
202	17343	68091
203	17423	67984
204	17514	67920
205	17591	67804
206	17682	67739
207	17766	67650
208	17846	67543
209	17930	67454
210	18005	67328
211	18087	67230
212	18169	67135
213	18253	67043
214	18332	66934
215	18415	66841
216	18492	66727
217	18572	66622
218	18659	66543
219	18743	66455
220	18823	66350
221	18903	66247
222	18984	66149
223	19063	66042
224	19150	65963
225	19234	65875
226	19321	65796
227	19406	65708
228	19480	65587
229	19565	65501
230	19644	65395
231	19726	65302
232	19805	65197
233	19882	65086
234	19961	64981
235	20042	64884
236	20129	64805
237	20205	64691
238	20293	64616
239	20374	64519
240	20460	64439
241	20543	64347
242	20629	64266
243	20711	64171
244	20796	64087
245	20880	63998
246	20966	63918
247	21049	63827
248	21134	63743
249	21217	63653
250	21303	63572
251	21383	63472
252	21463	63372
253	21549	63291
254	21637	63214
255	21720	63124
256	21799	63023
257	21878	62921
258	21967	62849
259	22058	62780
260	22141	62692
261	22223	62598
262	22302	62498
263	22388	62415
264	22468	62319
265	22543	62207
266	22628	62121
267	22713	62039
268	22825	62028
269	22935	62010
270	23049	62003
271	23166	62004
272	23262	61948
273	23370	61922
274	23475	61890
275	23560	61804
276	23654	61740
277	23766	61725
278	23868	61681
279	23983	61672
280	24100	61666
281	24191	61593
282	24274	61500
283	24355	61402
284	24439	61314
285	24520	61215
286	24598	61110
287	24675	61003
288	24766	60931
289	24861	60868
290	24953	60798
291	25041	60717
292	25135	60651
293	25237	60603
294	25326	60525
295	25414	60444
296	25499	60357
297	25583	60266
298	25670	60184
299	25756	60097
300	25870	60078
301	25974	60034
302	26073	59976
303	26164	59901
304	26251	59817
305	26376	59821
306	26485	59786
307	26594	59750
308	26684	59672
309	26781	59611
310	26883	59559
311	26983	59501
312	27081	59440
313	27164	59347
314	27248	59254
315	27331	59161
316	27414	59067
317	27498	58975
318	27577	58872
319	27657	58773
320	27750	58699
321	27833	58605
322	27920	58521
323	28016	58454
324	28114	58392
325	28203	58309
326	28285	58213
327	28367	58118
328	28445	58014
329	28528	57921
330	28620	57845
331	28735	57817
332	28834	57755
333	28928	57683
334	29021	57610
335	29116	57539
336	29220	57487
337	29311	57409
338	29409	57343
339	29492	57249
340	29583	57172
341	29674	57092
342	29763	57011
343	29850	56925
344	29940	56843
345	30021	56745
346	30100	56645
347	30180	56544
348	30267	56458
349	30362	56387
350	30446	56295
351	30538	56218
352	30632	56145
353	30712	56045
354	30798	55958
355	30891	55882
356	30978	55796
357	31059	55698
358	31148	55616
359	31235	55528
360	31343	55480
361	31438	55407
362	31520	55312
363	31596	55206
364	31678	55112
365	31763	55021
366	31852	54939
367	31932	54841
368	32017	54750
369	32103	54662
370	32183	54564
371	32275	54486
372	32375	54422
373	32464	54339
374	32560	54267
375	32658	54198
376	32751	54122
377	32844	54045
378	32936	53966
379	33031	53892
380	33132	53828
381	33218	53741
382	33318	53674
383	33409	53593
384	33504	53520
385	33589	53429
386	33671	53335
387	33763	53256
388	33853	53172
389	33963	53122
390	34052	53037
391	34137	52948
392	34225	52861
393	34314	52778
394	34403	52694
395	34489	52605
396	34582	52526
397	34681	52458
398	34791	52405
